smartlabel_id,smartlabel_upc,smartlabel_url,smartlabel_url_ingredients,smartlabel_url_allergens,image_url,image_field,rev,http_status,notes,ingredients_http_status,allergens_http_status,ingredients_text,ingredients_items_json,allergens_declared_json,allergens_present_json,allergens_may_contain_json,smartlabel_error
362044,21130032341,https://smartlabel.labelinsight.com/product/11188035/nutrition,https://smartlabel.labelinsight.com/product/11188035/ingredients,https://smartlabel.labelinsight.com/product/11188035/allergens,https://images.openfoodfacts.org/images/products/002/113/003/2341/ingredients_en.6.full.jpg,ingredients_en,6,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
447485,79893401522,https://smartlabel.labelinsight.com/product/13173763/nutrition,https://smartlabel.labelinsight.com/product/13173763/ingredients,https://smartlabel.labelinsight.com/product/13173763/allergens,https://images.openfoodfacts.org/images/products/007/989/340/1522/ingredients_en.12.full.jpg,ingredients_en,12,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
448175,21130032259,https://smartlabel.labelinsight.com/product/13849820/nutrition,https://smartlabel.labelinsight.com/product/13849820/ingredients,https://smartlabel.labelinsight.com/product/13849820/allergens,https://images.openfoodfacts.org/images/products/002/113/003/2259/ingredients_en.14.full.jpg,ingredients_en,14,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
447776,21130032259,https://smartlabel.labelinsight.com/product/13746736/nutrition,https://smartlabel.labelinsight.com/product/13746736/ingredients,https://smartlabel.labelinsight.com/product/13746736/allergens,https://images.openfoodfacts.org/images/products/002/113/003/2259/ingredients_en.14.full.jpg,ingredients_en,14,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
474158,21130032259,https://smartlabel.labelinsight.com/product/17463806/nutrition,https://smartlabel.labelinsight.com/product/17463806/ingredients,https://smartlabel.labelinsight.com/product/17463806/allergens,https://images.openfoodfacts.org/images/products/002/113/003/2259/ingredients_en.14.full.jpg,ingredients_en,14,200,ok,200,200,Egg,"[""Egg""]","[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],
448588,79893122458,https://smartlabel.labelinsight.com/product/13850627/nutrition,https://smartlabel.labelinsight.com/product/13850627/ingredients,https://smartlabel.labelinsight.com/product/13850627/allergens,https://images.openfoodfacts.org/images/products/007/989/312/2458/ingredients_en.15.full.jpg,ingredients_en,15,200,ok,200,200,"Organic Grade A Milk, Organic Grade A Cream","[""Organic Grade A Milk"", ""Organic Grade A Cream""]","[{""name"": ""Milk"", ""presence"": ""Contains""}]","[""Milk""]",[],
474193,79893401522,https://smartlabel.labelinsight.com/product/17481845/nutrition,https://smartlabel.labelinsight.com/product/17481845/ingredients,https://smartlabel.labelinsight.com/product/17481845/allergens,https://images.openfoodfacts.org/images/products/007/989/340/1522/ingredients_en.12.full.jpg,ingredients_en,12,200,ok,500,500,,[],[],[],[],ingredients:no_sections_found; allergens:no_sections_found; ingredients:empty_after_parse; allergens:empty_after_parse
502773,21130032259,https://smartlabel.labelinsight.com/product/17477892/nutrition,https://smartlabel.labelinsight.com/product/17477892/ingredients,https://smartlabel.labelinsight.com/product/17477892/allergens,https://images.openfoodfacts.org/images/products/002/113/003/2259/ingredients_en.14.full.jpg,ingredients_en,14,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
502780,79893401522,https://smartlabel.labelinsight.com/product/17478995/nutrition,https://smartlabel.labelinsight.com/product/17478995/ingredients,https://smartlabel.labelinsight.com/product/17478995/allergens,https://images.openfoodfacts.org/images/products/007/989/340/1522/ingredients_en.12.full.jpg,ingredients_en,12,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
502782,79893401522,https://smartlabel.labelinsight.com/product/17479001/nutrition,https://smartlabel.labelinsight.com/product/17479001/ingredients,https://smartlabel.labelinsight.com/product/17479001/allergens,https://images.openfoodfacts.org/images/products/007/989/340/1522/ingredients_en.12.full.jpg,ingredients_en,12,200,ok,200,200,,[],"[{""name"": ""Egg"", ""presence"": ""Contains""}]","[""Egg""]",[],ingredients:empty_after_parse
