allergen,ingredient_name,source_type,matched_rows,target_allergen_rows,non_target_rows,target_precision_pct,mentions_total,prevalence_pct,source_origin
Milk,Milk,existing,75259,40971,34288,54.44,139976,28.8308,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Cheese,existing,35942,22860,13082,63.60,92418,13.7689,Cheese (all types)
Milk,whey,expanded_parenthetical,31080,17039,14041,54.82,37505,11.9064,"Hydrolysates (casein, milk protein, whey, whey protein)"
Milk,Cream,existing,28444,15399,13045,54.14,43114,10.8965,Cream
Milk,malted,expanded_parenthetical,39175,15117,24058,38.59,40584,15.0075,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Butter,existing,31856,15109,16747,47.43,41487,12.2036,Butter
Milk,whole,expanded_parenthetical,39265,14902,24363,37.95,52472,15.0419,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,powder,expanded_parenthetical,27594,12629,14965,45.77,45180,10.5709,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,protein,expanded_parenthetical,25337,11563,13774,45.64,39650,9.7063,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,nonfat,expanded_parenthetical,21164,9985,11179,47.18,24153,8.1077,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,solids,expanded_parenthetical,13950,7735,6215,55.45,15963,5.3441,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,nonfat Milk,expanded_parenthetical,14356,6758,7598,47.07,15609,5.4996,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
Milk,Buttermilk,expanded_manual,10459,5267,5192,50.36,11377,4.0067,manual_expansion_seed
Milk,dry,expanded_parenthetical,9808,4644,5164,47.35,11723,3.7573,"Milk (all forms: condensed, dry, evaporated, goat's, low-fat, malted, milkfat, nonfat, powder, protein, skimmed, solids, whole)"
