class,class_scope,canonical_id,alias_id,alias,alias_norm,source_type,source_origin,status_before,status_after,action,rows_matched,target_rows,other_labeled_rows,target_precision_pct,target_exclusivity_pct,reason
Milk,big9,milk__ice_cream,32,Ice cream,ice cream,workbook_existing,Allergen-Ingredient Map:13,approved,demoted_auto,demote_auto,2126,412,1714,19.38,19.38,"Auto-demoted: support 2126, precision 0.194, exclusivity 0.194."
Egg,big9,egg__egg,94,dried,dried,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,12993,2149,10844,16.54,16.54,"Auto-demoted: support 12993, precision 0.165, exclusivity 0.165."
Egg,big9,egg__egg,85,Egg,egg,workbook_existing,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,19643,5573,14070,28.37,28.37,"Auto-demoted: support 19643, precision 0.284, exclusivity 0.284."
Egg,big9,egg__egg,91,Egg white,egg white,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,2254,608,1646,26.97,26.97,"Auto-demoted: support 2254, precision 0.270, exclusivity 0.270."
Egg,big9,egg__egg,95,Egg yolk,egg yolk,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,2456,586,1870,23.86,23.86,"Auto-demoted: support 2456, precision 0.239, exclusivity 0.239."
Egg,big9,egg__egg,92,lecithin,lecithin,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,29685,8656,21029,29.16,29.16,"Auto-demoted: support 29685, precision 0.292, exclusivity 0.292."
Egg,big9,egg__egg,96,powdered,powdered,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,3887,996,2891,25.62,25.62,"Auto-demoted: support 3887, precision 0.256, exclusivity 0.256."
Egg,big9,egg__egg,93,solids,solids,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,13950,2118,11832,15.18,15.18,"Auto-demoted: support 13950, precision 0.152, exclusivity 0.152."
Egg,big9,egg__egg,97,white,white,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,18257,3745,14512,20.51,20.51,"Auto-demoted: support 18257, precision 0.205, exclusivity 0.205."
Egg,big9,egg__egg,86,yolk,yolk,workbook_parenthetical,Allergen-Ingredient Map:32,approved,demoted_auto,demote_auto,2470,587,1883,23.77,23.77,"Auto-demoted: support 2470, precision 0.238, exclusivity 0.238."
Egg,big9,egg__egg,542,yolks,yolks,rule_variant,rule_from_alias:86,generated,demoted_auto,demote_auto,4277,1205,3072,28.17,28.17,"Auto-demoted: support 4277, precision 0.282, exclusivity 0.282."
Peanut,big9,peanut__expeller_pressed,126,Expeller pressed,expeller pressed,workbook_existing,Allergen-Ingredient Map:52,approved,demoted_auto,demote_auto,1557,48,1509,3.08,3.08,"Auto-demoted: support 1557, precision 0.031, exclusivity 0.031."
Tree Nut,big9,tree_nut__walnut,216,Black,black,workbook_parenthetical,Allergen-Ingredient Map:93,approved,demoted_auto,demote_auto,4417,273,4144,6.18,6.18,"Auto-demoted: support 4417, precision 0.062, exclusivity 0.062."
Tree Nut,big9,tree_nut__chestnut,571,chestnuts,chestnuts,rule_variant,rule_from_alias:155,generated,demoted_auto,demote_auto,419,13,406,3.10,3.10,"Auto-demoted: support 419, precision 0.031, exclusivity 0.031."
Tree Nut,big9,tree_nut__coconut,217,Coconut,coconut,workbook_existing,Allergen-Ingredient Map:94,approved,demoted_auto,demote_auto,10091,2376,7715,23.55,23.55,"Auto-demoted: support 10091, precision 0.235, exclusivity 0.235."
Tree Nut,big9,tree_nut__walnut,212,English,english,workbook_parenthetical,Allergen-Ingredient Map:93,approved,demoted_auto,demote_auto,425,10,415,2.35,2.35,"Auto-demoted: support 425, precision 0.024, exclusivity 0.024."
