class,class_scope,canonical_id,alias,alias_norm,source_type,source_status,effective_status,active,rows_matched,target_rows,other_labeled_rows,target_precision_pct,target_exclusivity_pct,mentions_total,source_origin,decision_reason
Milk,big9,milk__milk,Milk,milk,workbook_existing,approved,approved,yes,75259,40971,34288,54.44,54.44,139976,Allergen-Ingredient Map:17,
Milk,big9,milk__cheese,Cheese,cheese,workbook_existing,approved,approved,yes,35942,22860,13082,63.60,63.60,92418,Allergen-Ingredient Map:5,
Milk,big9,milk__hydrolysates,whey,whey,workbook_parenthetical,approved,approved,yes,31080,17039,14041,54.82,54.82,37505,Allergen-Ingredient Map:12,
Milk,big9,milk__cream,Cream,cream,workbook_existing,approved,approved,yes,28444,15399,13045,54.14,54.14,43114,Allergen-Ingredient Map:6,
Milk,big9,milk__milk,malted,malted,workbook_parenthetical,approved,approved,yes,39175,15117,24058,38.59,38.59,40584,Allergen-Ingredient Map:17,
Milk,big9,milk__butter,Butter,butter,workbook_existing,approved,approved,yes,31856,15109,16747,47.43,47.43,41487,Allergen-Ingredient Map:2,
Milk,big9,milk__milk,whole,whole,workbook_parenthetical,approved,approved,yes,39265,14902,24363,37.95,37.95,52472,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,powder,powder,workbook_parenthetical,approved,approved,yes,27594,12629,14965,45.77,45.77,45180,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,protein,protein,workbook_parenthetical,approved,approved,yes,25337,11563,13774,45.64,45.64,39650,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,nonfat,nonfat,workbook_parenthetical,approved,approved,yes,21164,9985,11179,47.18,47.18,24153,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,solids,solids,workbook_parenthetical,approved,approved,yes,13950,7735,6215,55.45,55.45,15963,Allergen-Ingredient Map:17,
Milk,big9,milk__milk,dry,dry,workbook_parenthetical,approved,approved,yes,9808,4644,5164,47.35,47.35,11723,Allergen-Ingredient Map:17,
Milk,big9,milk__hydrolysates,whey protein,whey protein,workbook_parenthetical,approved,approved,yes,6740,3443,3297,51.08,51.08,7778,Allergen-Ingredient Map:12,
Milk,big9,milk__milk_solids,Nonfat Dry Milk,nonfat dry milk,manual_seed,approved,approved,yes,7090,3416,3674,48.18,48.18,7682,manual_seed,
Milk,big9,milk__whey,isolate,isolate,workbook_parenthetical,approved,approved,yes,6446,2936,3510,45.55,45.55,8681,Allergen-Ingredient Map:26,
Milk,big9,milk__milk,milkfat,milkfat,workbook_parenthetical,approved,approved,yes,6157,2929,3228,47.57,47.57,6374,Allergen-Ingredient Map:17,
