class,class_scope,canonical_id,canonical_name,source_type,alias_count,rows_matched,target_rows,target_precision_pct,mentions_total,source_origin
Milk,big9,milk__milk,Milk,workbook_existing,33,146687,67226,45.83,390303,Allergen-Ingredient Map:17
Milk,big9,milk__cheese,Cheese,workbook_existing,4,36142,22951,63.50,93829,Allergen-Ingredient Map:5
Milk,big9,milk__hydrolysates,Hydrolysates,workbook_existing,9,32523,17816,54.78,49453,Allergen-Ingredient Map:12
Milk,big9,milk__cream,Cream,workbook_existing,1,28444,15399,54.14,43114,Allergen-Ingredient Map:6
Milk,big9,milk__butter,Butter,workbook_existing,2,31856,15109,47.43,41487,Allergen-Ingredient Map:2
Milk,big9,milk__whey,Whey,workbook_existing,6,9621,4704,48.89,13469,Allergen-Ingredient Map:26
Milk,big9,milk__milk_solids,Milk Solids,manual_seed,3,7627,3769,49.42,8448,manual_seed
Milk,big9,milk__butter_ester,Butter ester,workbook_existing,3,5277,2822,53.48,6130,Allergen-Ingredient Map:2
Milk,big9,milk__caseinates,Caseinates,workbook_existing,6,3387,1970,58.16,5695,Allergen-Ingredient Map:4
Milk,big9,milk__lactose,Lactose,workbook_existing,2,3648,1837,50.36,4036,Allergen-Ingredient Map:16
Milk,big9,milk__casein,Casein,workbook_existing,2,2130,1774,83.29,2568,Allergen-Ingredient Map:4
Milk,big9,milk__rennet,Rennet,workbook_existing,2,1655,1316,79.52,2134,Allergen-Ingredient Map:22
Milk,big9,milk__rennet_casein,Rennet casein,workbook_existing,1,1148,1075,93.64,1518,Allergen-Ingredient Map:22
Milk,big9,milk__caseinate_salts,Caseinate Salts,manual_seed,2,1192,639,53.61,1197,manual_seed
Milk,big9,milk__yogurt,Yogurt,workbook_existing,2,1560,606,38.85,2340,Allergen-Ingredient Map:27
Milk,big9,milk__cheese_flavor,Cheese flavor,workbook_existing,1,800,575,71.88,856,Allergen-Ingredient Map:5
Milk,big9,milk__butter_oil,Butter oil,workbook_existing,1,917,414,45.15,968,Allergen-Ingredient Map:2
Milk,big9,milk__artificial_butter_flavor,Artificial butter flavor,workbook_existing,1,829,401,48.37,836,Allergen-Ingredient Map:3
Milk,big9,milk__half_and_half,Half-and-half,workbook_existing,1,469,391,83.37,469,Allergen-Ingredient Map:11
Milk,big9,milk__diacetyl,Diacetyl,workbook_existing,2,484,205,42.36,484,Allergen-Ingredient Map:9
Milk,big9,milk__pudding,Pudding,workbook_existing,2,163,130,79.75,186,Allergen-Ingredient Map:20
Milk,big9,milk__butter_fat,Butter fat,workbook_existing,1,140,112,80.00,162,Allergen-Ingredient Map:2
Milk,big9,milk__whey_protein_hydrolysate,Whey Protein Hydrolysate,manual_seed,3,111,106,95.50,111,manual_seed
Milk,big9,milk__curds,Curds,workbook_existing,2,94,60,63.83,94,Allergen-Ingredient Map:7
Milk,big9,milk__tagatose,Tagatose,workbook_existing,2,46,27,58.70,46,Allergen-Ingredient Map:25
Milk,big9,milk__nougat,Nougat,workbook_existing,2,20,14,70.00,20,Allergen-Ingredient Map:19
Milk,big9,milk__custard,Custard,workbook_existing,2,11,11,100.00,11,Allergen-Ingredient Map:8
Milk,big9,milk__ghee,Ghee,workbook_existing,2,15,10,66.67,15,Allergen-Ingredient Map:10
Milk,big9,milk__butter_acid,Butter acid,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:2
Milk,big9,milk__ice_cream,Ice cream,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:13
Milk,big9,milk__lactalbumin,Lactalbumin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:14
Milk,big9,milk__lactalbumin_phosphate,Lactalbumin phosphate,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:14
Milk,big9,milk__lactoferrin,Lactoferrin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:15
Milk,big9,milk__lactoglobulin,Lactoglobulin,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:15
Milk,big9,milk__lactulose,Lactulose,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:16
Milk,big9,milk__milk_protein_hydrolysate,Milk protein hydrolysate,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:18
Milk,big9,milk__recaldenttm,RecaldentTM,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:21
Milk,big9,milk__simpless,Simpless,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:23
Milk,big9,milk__sour_milk_solids,Sour milk solids,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:24
Egg,big9,egg__egg,Egg,workbook_existing,19,7840,2607,33.25,7997,Allergen-Ingredient Map:32
Egg,big9,egg__mayonnaise,Mayonnaise,workbook_existing,2,2153,817,37.95,2207,Allergen-Ingredient Map:41
Egg,big9,egg__egg_noodles,Egg noodles,workbook_existing,1,1467,703,47.92,1467,Allergen-Ingredient Map:33
