priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
2030,seafood stuffing,seafood stuffing,14,no,egg | fish | milk | shellfish | soy | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:milk | allergen:shellfish | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"seafood stuffing (mayonnaise soybean oil, water, egg yolks, distilled vinegar (6) | seafood stuffing (imitation crab, (fish protein pollock, whiting, cod and threadfin bream water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate) spinach, pasteurized milk and cream, creamer (water, corn syrup solids, palm oil, sodium caseinate (milk derivative mono- and diglycerides, dipotassium phosphate, sodium silicoaluminate, soy lecithin) enriched wheat flour (enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), artichoke hearts, crabmeat and shrimp (6) | seafood stuffing (wheat flour, imitation crab fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika , water, onion, shrimp, green bell peppers, soybean oil, celery, red bell peppers, creamer corn syrup solids, palm oil, sodium caseinate milk derivative , mono and diglycerides, dipotassium phosphate, sodium silicoaluminate, soy lecithin . hydrolyzed corn gluten, sugar, corn oil, spice, disodium inosinate and guanylate, natural flavoring .) (1) | seafood stuffing (wheat flour, imitation crab fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika , water, onion, shrimp, gre (1)",usda_only_train:8 | usda_only_holdout:4 | usda_only_val:1 | openfoodfacts_targeted:1,,
2005,mix,mix,13,no,milk | peanut | sesame | soy | tree nut | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:peanut | allergen:sesame | allergen:soy | allergen:tree_nut | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"mix (peanuts, unbleached wheat flour malted barley as an enzyme additive , soybean oil, yellow corn masa, bulgar wheat, sesame seeds, almonds pumpkin seeds, poppy seeds, salt, seasoning spices, corn flour, salt, onion powder, potato flour, tomato powder, natural flavorings coconut oil fractions , garlic powder, green bell pepper powder, extractives of paprika and other spices, beet powder, turmeric, citric acid , cheddar cheese cultured milk, salt, enzymes , whey protein concentrate, lactose, buttermilk solids, salt, annatto extract, peanut oil and annatto color. hot southern peanuts (super extra large virginia peanuts, peanut oil, salt, onion powder, corn syrup solids, corn starch, jalapeno pepper, garlic powder, soybean oil, natural and artificial flavors (5) | mix (sugar, enriched wheat flour bleached flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , modified food starch, soybean oil, whey, leavening sodium aluminum phosphate, baking soda , salt, vital wheat gluten, propylene glycol mono-and diesters of fatty acids, mono- and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soy flour, eggs, natural and artificial flavor, water, ascorbic acid added as a dough conditioner, alpha-tocopherol preservative, citric acid) (5) | mix (sugar, bleached enriched wheat flour bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , cocoa processed with alkali , palm oil, fudgy pouch (sugar, palm oil with green tea and rosemary extract as anti-oxidants, alkalized cocoa powder, soy lecithin) (2) | mix (sugar, enriched wheat flour bleached (flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), food starch-modified, soybean oil, whey (1)",usda_only_train:7 | usda_only_val:5 | usda_only_holdout:1,,
1980,seasoned crouton,seasoned crouton,8,no,egg | fish | milk | soy | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"seasoned croutons (unbleached enriched flour wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, and folic acid , canola and or high oleic sunflower oil, water, evaporated cane juice, salt, less than 2% of whey, parmesan cheeses (part-skim milk, cheese culture, salt, enzymes), whey, buttermilk solids, sodium phosphate, salt , yeast, nonfat dry milk, dextrose, onion, garlic, natural parmesan flavor, spices, parsley, and lactic acid. dressing: water, canola oil, parmesan cheese (milk, culture, salt, enzymes), cider vinegar, salt, romano cheese (milk, culture, salt, enzymes), lemon juice concentrate, egg yolk, sugar, garlic, spices, worcestershire powder (vinegar, molasses, corn syrup, salt, caramel color, garlic, sucrose, spices, tamarind, natural flavor, maltodextrin), citric acid, xanthan gum, dried onion, anchovy powder (maltodextrin, anchovy extract, salt), caramel color, annatto extract (color), yeast extract, natural flavors (4) | seasoned croutons (enriched flour wheat flour, barley malt, niacin reduced iron, thiamine mononitrate, riboflavin, folic acid , partially hydrogenated soybean oil and/or cottonseed oil, water, whey, salt (4)",usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1965,macaroni and cheese sauce,macaroni and cheese sauce,8,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"macaroni and cheese sauce (cooked macaroni water, durum semolina enriched with niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , egg whites , water, club cheddar cheese pasteurized cultured milk, salt, enzymes, annatto coloring , sweet whey, modified food starch, wheat flour, soybean oil, whey protein concentrate, cheese flavor dehydrated blend of whey, granular and blue cheese pasteurized milk, culture, salt, enzymes , sunflower oil, maltodextrin, salt, sodium phosphate, citric acid, lactic acid , butter, salt, disodium phosphate, acetic acid esters of mono- and diglycerides, maltodextrin, citric acid, beta carotene blend corn oil, beta carotene color ) (4) | macaroni and cheese sauce (pasta water, durum semolina enriched with niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , egg whites , water (4)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:1,,
1955,parmesan marinara sauce,parmesan marinara sauce,21,no,egg | milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice, calcium chloride, citric acid , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragrain , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (16) | parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice, calcium chloride, citric acid , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragraina® , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (3) | parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice, calcium chloride, citric acid , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragrain® , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (1) | parmesan marinara sauce (water, tomatoes in juice tomatoes, tomato juice , tomato paste, brown sugar, onions, cooked pasta (water, pasta whole grain wheat flour ultragrain , durum wheat semolina, egg white , sunflower oil). cooked meatballs with glaze (meatball pork, beef, water, bread crumb unbleached wheat flour, sugar, salt, yeast , onions, parmesan cheese part skim milk, cheese culture, salt, enzymes , tomato paste, isolated soy protein, potassium chloride, sea salt, flavoring , glaze water, tomato paste, sugar ). spinach (1)",usda_only_train:13 | usda_only_holdout:5 | usda_only_val:3,,
1955,tomato basil tortilla,tomato basil tortilla,16,no,egg | milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"tomato basil tortilla (enriched bleached wheat flour flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, vegetable shortening soybean oil, vegetable mono and diglycerides, tocopherols (vitamin e) and vitamin c palmitate (as antioxidants) , tomato basil powder dextrose, sugar, tomato powder, onion powder, dehydrated parsley, garlic powder, spices (including basil), citric acid, artificial flavor, extractives of paprika, red 40 lake, yellow 5 lake, not more than 2% silicon dioxide to prevent caking (7) | tomato basil tortilla (enriched bleached wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, vegetable shortening (interesterified soybean oil, hydrogenated soybean oil and/or palm oil), seasoning (tomato powder, spice, salt, sugar, red bell pepper, sun dried tomato, soybean oil, autolyzed yeast extract, onion powder, garlic powder, citric acid, natural and artificial flavor extractives of paprika, sulfating agents), turkey breast (turkey breast, turkey broth, dextrose, salt, sodium lactate, modified food starch, tapioca starch, carrageenan, sodium phosphate, natural flavor, sodium diacetate, sodium erythorbate, sodium nitrite). romaine chopped lettuce, cheddar cheese sliced (pasteurized milk, cheese culture, salt, enzymes, annatto (color), roasted corn salsa (corn, water, sugar, salt), black beans (prepared black beans, water, salt, ferrous gluconate, calcium chloride added to help maintain firmness), pepper black cafe ground, diced red peppers, fresh cilantro, salt, cilantro mayo (extra heavy mayonnaise (soybean oil, water, corn syrup, egg yolks, distilled and cider vinegar, salt, spice, calcium disodium edta added to protect flavor), fresh cilantro (4) | tomato basil tortilla (enriched bleached wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, vegetable shortening interesterified soybean oil, hydrogenated soybean oil and or palm oil , seasoning tomato powder, spice, salt, sugar, red bell pepper, sun dried tomato, soybean oil, autolyzed yeast extract, onion powder, garlic powder, citric acid, natural and artificial flavor, extractives of paprika, sulfiting agents (3) | tomato basil tortilla (enriched flour wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, canola oil,) (2)",usda_only_train:11 | usda_only_holdout:5,,
1955,tarragon chicken salad,tarragon chicken salad,11,no,egg | milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:product_style | review:surface_form_composite,"tarragon chicken salad (cooked white meat chicken, salad dressing soybean oil, water, vinegar, sugar, egg yolks, modified food starch, salt, mustard flour, spice, paprika, natural flavor, dried garlic , celery, water chestnuts, almonds (7) | tarragon chicken salad (cooked white meat chicken, salad dressing soybean oil, water, vinegar, sugar, egg yolks, modified food starch, salt, mustard flour, spice, paprika, natural flavor, dried garlic , celery, water chestnuts, almonds, tartaric acid, spices bread crumbs bleached wheat flour, sugar, yeast. salt , sugar. shallots, salt, distilled vinegar, glucono delta lactone, spices including tarragon , modified food starch, gum arabic, whey) (4)",usda_only_train:8 | usda_only_val:2 | usda_only_holdout:1,,
1945,lobster surimi,lobster surimi,21,no,egg | fish | shellfish | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:shellfish | allergen:soy | diet_block:gluten_free | diet_block:meat | diet_block:vegan_only | evidence:surface_form | review:product_style | review:surface_form_composite,"lobster surimi (fish protein pollock and or whiting , water, wheat starch, sorbitol, egg whites, corn starch (6) | lobster surimi (alaska pollock, water, pea starch, sorbitol, sugar, modified tapioca starch, lobster meat, natural and artificial flavor extracts of lobster, blue crab, snow crab, and alaska pollock , fish oil anchovy, sardine , rice wine water, rice, koji , egg whites, sea salt, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine color , paprika color ) (5) | lobster surimi (fish protein pollock and/or whiting , water, wheat starch, sorbitol, egg white, corn starch, lobster meat, sugar, soybean oil, salt, natural and artificial lobster flavor, mirin wine, calcium carbonate, sodium tripolyphosphate, tetrasodium pyrophosphate, color added carmine, paprika ) (4) | lobster surimi (alaskan pollock, water, pea starch, sorbitol, sugar, modified tapioca starch,1 mustard seed, salt, turmeric, oleoresin paprika spices) (4) | lobster surimi (alaska pollock, water, wheat starch egg whites, sorbitol, corn starch, sugar (2)",usda_only_train:14 | usda_only_holdout:4 | usda_only_val:3,,
1930,shrimp salad,shrimp salad,10,no,egg | fish | shellfish | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:shellfish | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"shrimp salad (cooked north pacific cold water shrimp, alaskan pollock, water, sugar, wheat starch, cornstarch (6) | shrimp salad (cooked north pacific cold water shrimp, alaska pollock, water, sugar, egg whites, wheat starch, corn starch (4)",usda_only_train:6 | usda_only_val:2 | usda_only_holdout:2,,
1915,mushroom sauce,mushroom sauce,12,no,milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"mushroom sauce (water, parmesan cheese pasteurized part-skim milk, cheese cultures, salt, enzymes , heavy cream pasteurized heavy cream, carrageenan , mushroom base sauteed mushrooms, organic maltodextrin, olive oil, yeast extract, salt, mushroom concentrate, organic cane sugar, onion powder, natural flavor oleoresin black pepper , onion, butter pasteurized cream milk , vegetable base cooked vegetables carrot, onion, celery , salt, sugar, corn oil, potato flour, carrot powder , soy sauce water, soybeans, salt, sugar , modified food starch, canola oil, parsley, garlic, porcini mushroom powder, white wine (6) | mushroom sauce (milk milk, vitamin d3 , water, onion, mushrooms, unsalted butter pasteurized cream, flavorings , canola oil, enriched wheat flour wheat flour, malted barley flour, niacin. reduced iron, thiamin mononitrate, riboflavin, folic acid , marsala wine dried marsala wine (6)",usda_only_train:9 | usda_only_val:2 | usda_only_holdout:1,,
