ingredient,ingredient_key,product_occurrences,egg,fish,milk,peanut,sesame,shellfish,soy,tree_nut,wheat,vegan,vegetarian,pescatarian,gluten_free,egg_safe_products,fish_safe_products,milk_safe_products,peanut_safe_products,sesame_safe_products,shellfish_safe_products,soy_safe_products,tree_nut_safe_products,wheat_safe_products,vegan_safe_products,vegetarian_safe_products,pescatarian_safe_products,gluten_free_safe_products,egg_violates_products,fish_violates_products,milk_violates_products,peanut_violates_products,sesame_violates_products,shellfish_violates_products,soy_violates_products,tree_nut_violates_products,wheat_violates_products,vegan_violates_products,vegetarian_violates_products,pescatarian_violates_products,gluten_free_violates_products
"!""Contains Two Percent or Less of"" Salt",contains two percent or less of salt,59,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,57,57,23,57,57,59,33,58,34,23,57,57,34,2,36,36,2,2,0,26,1,25,36,2,2,25
#1 GRADE MUSTARD SEED,1 grade mustard seed,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,41,40,41,41,41,41,37,41,37,40,40,40,36,0,1,0,0,0,0,4,0,4,1,1,1,5
#1 MUSTARD SEED,1 mustard seed,44,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,43,44,43,44,44,44,42,44,44,42,44,44,41,1,2,1,0,0,0,2,0,0,2,0,0,3
& Other Natural Flavors (Maltodextrin),other natural flavors,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,26,24,28,28,28,23,25,27,23,26,26,27,0,5,4,0,0,0,5,3,1,5,2,2,1
(Vegan Vit. B12) *Organic Ingredient,organic ingredient,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,11,12,12,11,12,9,9,11,11,11,11,11,0,1,0,0,1,0,3,3,1,1,1,1,1
(Vegan Vit. B12) *Organic Ingredients,organic ingredients,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,9,10,10,10,8,10,10,8,8,8,8,2,2,1,0,0,0,2,0,0,2,2,2,2
) Sauce: Water,sauce water,94,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,77,43,42,91,75,89,36,87,30,22,43,50,31,17,72,52,3,19,5,58,7,64,72,51,44,63
* BAKING SODA. *ORGANIC,baking soda organic,25,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,25,23,22,25,25,25,20,9,21,20,23,25,21,0,5,3,0,0,0,5,16,4,5,2,0,4
* CONTAINS 2% OR LESS OF: NATURAL FLAVOR,contains 2 or less of natural flavor,103,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,90,86,48,92,103,103,56,64,64,36,86,88,64,13,67,55,11,0,0,47,39,39,67,17,15,39
* QUINOA FLAKES,quinoa flakes,42,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,42,33,37,41,39,42,39,10,36,29,33,33,36,0,13,5,1,3,0,3,32,6,13,9,9,6
** Daily Value (DV) not established,daily value not established,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,12,14,14,14,14,13,14,14,12,12,12,14,0,2,0,0,0,0,1,0,0,2,2,2,0
***CONTAINS 100% JUICE***,contains 100 juice,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
***KEEP REFRIGERATED***,keep refrigerated,715,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,556,329,249,700,670,664,555,644,544,95,329,396,541,149,610,456,5,35,41,150,61,161,610,376,309,164
**Kombucha Culture,kombucha culture,56,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,56,56,56,56,56,56,56,54,55,56,56,56,56,0,0,0,0,0,0,0,2,1,0,0,0,0
**truganic,truganic,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,11,9,12,12,12,12,0,0,0,0,0,0,0,1,3,0,0,0,0
*ADDS A TRIVIAL AMOUNT OF SUGAR,adds a trivial amount of sugar,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,8,8,9,9,9,7,9,9,7,8,8,9,0,2,1,0,0,0,2,0,0,2,1,1,0
*BAOBAB FRUIT POWDER,baobab fruit powder,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
